Connecting to E4:E3:EA:21:F7:C4
Connected
model=MetaWear C
Stream started
{'epoch': 1515034428715L, 'value x': -0.5263671875, 'value y': 0.10400390625, 'value z': 0.82763671875}
{'epoch': 1515034428722L, 'value x': -0.52490234375, 'value y': 0.1044921875, 'value z': 0.82861328125}
{'epoch': 1515034428730L, 'value x': -0.5244140625, 'value y': 0.10498046875, 'value z': 0.8330078125}
{'epoch': 1515034428745L, 'value x': -0.525390625, 'value y': 0.10400390625, 'value z': 0.8330078125}
{'epoch': 1515034428753L, 'value x': -0.525390625, 'value y': 0.103515625, 'value z': 0.82958984375}
{'epoch': 1515034428760L, 'value x': -0.52490234375, 'value y': 0.10595703125, 'value z': 0.8310546875}
{'epoch': 1515034428775L, 'value x': -0.52392578125, 'value y': 0.103515625, 'value z': 0.830078125}
{'epoch': 1515034428782L, 'value x': -0.5244140625, 'value y': 0.10302734375, 'value z': 0.8291015625}
{'epoch': 1515034428790L, 'value x': -0.52490234375, 'value y': 0.10546875, 'value z': 0.8330078125}
{'epoch': 1515034428805L, 'value x': -0.52685546875, 'value y': 0.10498046875, 'value z': 0.8291015625}
{'epoch': 1515034428812L, 'value x': -0.52392578125, 'value y': 0.10302734375, 'value z': 0.8291015625}
{'epoch': 1515034428820L, 'value x': -0.52587890625, 'value y': 0.10302734375, 'value z': 0.830078125}
{'epoch': 1515034428835L, 'value x': -0.52490234375, 'value y': 0.1064453125, 'value z': 0.82861328125}
{'epoch': 1515034428842L, 'value x': -0.5244140625, 'value y': 0.10693359375, 'value z': 0.8271484375}
{'epoch': 1515034428850L, 'value x': -0.5244140625, 'value y': 0.10498046875, 'value z': 0.82958984375}
{'epoch': 1515034428865L, 'value x': -0.525390625, 'value y': 0.1044921875, 'value z': 0.830078125}
{'epoch': 1515034428872L, 'value x': -0.5263671875, 'value y': 0.10400390625, 'value z': 0.83203125}
{'epoch': 1515034428880L, 'value x': -0.525390625, 'value y': 0.10302734375, 'value z': 0.830078125}
{'epoch': 1515034428895L, 'value x': -0.5244140625, 'value y': 0.10400390625, 'value z': 0.83203125}
{'epoch': 1515034428902L, 'value x': -0.5263671875, 'value y': 0.10400390625, 'value z': 0.83203125}
{'epoch': 1515034428910L, 'value x': -0.5283203125, 'value y': 0.10546875, 'value z': 0.82958984375}
{'epoch': 1515034428925L, 'value x': -0.52490234375, 'value y': 0.10400390625, 'value z': 0.82861328125}
{'epoch': 1515034428932L, 'value x': -0.52490234375, 'value y': 0.10400390625, 'value z': 0.82958984375}
{'epoch': 1515034428940L, 'value x': -0.525390625, 'value y': 0.10498046875, 'value z': 0.82958984375}
{'epoch': 1515034428955L, 'value x': -0.52587890625, 'value y': 0.10693359375, 'value z': 0.83154296875}
{'epoch': 1515034428962L, 'value x': -0.5244140625, 'value y': 0.10546875, 'value z': 0.828125}
{'epoch': 1515034428970L, 'value x': -0.525390625, 'value y': 0.10498046875, 'value z': 0.82666015625}
{'epoch': 1515034428985L, 'value x': -0.5244140625, 'value y': 0.10693359375, 'value z': 0.8271484375}
{'epoch': 1515034428992L, 'value x': -0.5263671875, 'value y': 0.10595703125, 'value z': 0.8310546875}
{'epoch': 1515034429000L, 'value x': -0.5244140625, 'value y': 0.10498046875, 'value z': 0.830078125}
{'epoch': 1515034429015L, 'value x': -0.52490234375, 'value y': 0.10546875, 'value z': 0.8310546875}
{'epoch': 1515034429022L, 'value x': -0.525390625, 'value y': 0.10546875, 'value z': 0.830078125}
{'epoch': 1515034429030L, 'value x': -0.52490234375, 'value y': 0.10546875, 'value z': 0.82958984375}
{'epoch': 1515034429045L, 'value x': -0.525390625, 'value y': 0.1064453125, 'value z': 0.83056640625}
{'epoch': 1515034429053L, 'value x': -0.52490234375, 'value y': 0.1064453125, 'value z': 0.83056640625}
{'epoch': 1515034429067L, 'value x': -0.5263671875, 'value y': 0.1064453125, 'value z': 0.826171875}
{'epoch': 1515034429075L, 'value x': -0.52587890625, 'value y': 0.10498046875, 'value z': 0.830078125}
